,Framework,Category,Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
1,Pytorch,Matrix computation inefficiency,12006,sundw2014,2018-09-24 9:10,8,2018-09-24 13:45,2019-03-02 4:08,274.9,228658.3833,5,4,"{'SsnL': 1, 'sundw2014': 2, 't-vi': 4, 'vishwakftw': 1}","['mediumpriority(thistagisdeprecated)', 'module:performance']"
2,Pytorch,Matrix computation inefficiency,18862,colesbury,2019-04-04 18:05,3,2019-05-07 9:05,2019-05-20 21:15,46980.11667,66430.66667,4,1,{'skrah': 3},"['highpriority', 'module:memoryusage', 'module:performance', 'small', 'triaged']"
3,Pytorch,Matrix computation inefficiency,21406,nict-wisdom,2019-06-05 9:59,6,2019-06-05 16:50,2019-07-30 5:38,411.1,78938.85,7,6,"{'eellison': 1, 'wanchaol': 1, 'chughtapan': 1, 'nict-wisdom': 1, 'ailzhang': 1, 'apaszke': 1}","['highpriority', 'oncall:jit', 'triaged']"
4,Pytorch,Matrix computation inefficiency,41467,samringer,2020-07-15 10:13,2,2020-07-16 2:52,2020-11-11 3:41,999.1833333,170968.0667,5,2,"{'ezyang': 1, 't-vi': 1}","['module:cuda', 'module:linearalgebra', 'module:performance', 'triaged']"
5,Pytorch,Matrix computation inefficiency,43837,fatvlady,2020-08-29 15:19,15,2020-08-31 14:48,2020-12-03 10:43,2849.566667,137964.7667,6,5,"{'fatvlady': 5, 'fritzo': 4, 'fehiepsi': 2, 'ezyang': 2, 'albanD': 2}","['module:autograd', 'module:performance', 'triaged']"
6,Pytorch,Matrix computation inefficiency,42265,sandeepkumar-skb,2020-07-29 23:53,5,2020-07-30 0:02,2020-09-19 3:49,8.566666667,73675.9,6,4,"{'ptrblck': 1, 'xwang233': 1, 'mkolod': 2, 'vishwakftw': 1}","['module:cuda', 'module:linearalgebra', 'module:performance', 'triaged']"
7,TensorFlow,Matrix computation inefficiency,17246,yaroslavvb,2018-02-24 23:39,27,2018-02-26 19:54,2019-03-07 0:10,2654.733333,540030.8833,9,8,"{'angerson': 1, 'mrry': 1, 'alextp': 3, 'yaroslavvb': 14, 'ekelsen': 2, 'ezhulenev': 3, 'ppwwyyxx': 1, 'jvishnuvardhan': 2}","['comp:runtime', 'type:bug']"
8,Pytorch,Matrix computation inefficiency,10661,fritzo,2018-08-18 22:03,14,2018-08-19 5:18,2019-05-24 15:46,434.05,401382.4833,8,7,"{'fritzo': 3, 't-vi': 6, 'weiyangfb': 1, 'neerajprad': 1, 'alexjc': 1, 'artemru': 1, 'qzhu2017': 1}",['mediumpriority(thistagisdeprecated)']
9,Pytorch,Matrix computation inefficiency,36155,lly-zero-one,2020-04-07 18:33,0,No comments,2020-10-08 17:09,No comments,264876.0333,6,0,{},"['module:convolution', 'module:cpu', 'module:nn', 'module:performance', 'triaged']"
10,Pytorch,Matrix computation inefficiency,43192,tobiasfshr,2020-08-18 8:34,3,2020-10-19 15:54,2020-11-09 23:17,89719.66667,120402.9,5,3,"{'zou3519': 1, 'ngimel': 1, 'tobiasfshr': 1}","['module:autograd', 'module:performance', 'triaged']"
